"Descriptions:","Unit:","Multiplier:","Currency:","Unique Identifier:","Series Name:",1945Q4,1946Q4,1947Q4,1948Q4,1949Q4,1950Q4,1951Q4,1952Q1,1952Q2,1952Q3,1952Q4,1953Q1,1953Q2,1953Q3,1953Q4,1954Q1,1954Q2,1954Q3,1954Q4,1955Q1,1955Q2,1955Q3,1955Q4,1956Q1,1956Q2,1956Q3,1956Q4,1957Q1,1957Q2,1957Q3,1957Q4,1958Q1,1958Q2,1958Q3,1958Q4,1959Q1,1959Q2,1959Q3,1959Q4,1960Q1,1960Q2,1960Q3,1960Q4,1961Q1,1961Q2,1961Q3,1961Q4,1962Q1,1962Q2,1962Q3,1962Q4,1963Q1,1963Q2,1963Q3,1963Q4,1964Q1,1964Q2,1964Q3,1964Q4,1965Q1,1965Q2,1965Q3,1965Q4,1966Q1,1966Q2,1966Q3,1966Q4,1967Q1,1967Q2,1967Q3,1967Q4,1968Q1,1968Q2,1968Q3,1968Q4,1969Q1,1969Q2,1969Q3,1969Q4,1970Q1,1970Q2,1970Q3,1970Q4,1971Q1,1971Q2,1971Q3,1971Q4,1972Q1,1972Q2,1972Q3,1972Q4,1973Q1,1973Q2,1973Q3,1973Q4,1974Q1,1974Q2,1974Q3,1974Q4,1975Q1,1975Q2,1975Q3,1975Q4,1976Q1,1976Q2,1976Q3,1976Q4,1977Q1,1977Q2,1977Q3,1977Q4,1978Q1,1978Q2,1978Q3,1978Q4,1979Q1,1979Q2,1979Q3,1979Q4,1980Q1,1980Q2,1980Q3,1980Q4,1981Q1,1981Q2,1981Q3,1981Q4,1982Q1,1982Q2,1982Q3,1982Q4,1983Q1,1983Q2,1983Q3,1983Q4,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3,2025Q4,2026Q1
"Households and nonprofit organizations; consumer credit; liability","Currency","1000000","USD",Z1/Z1/FL153166000.Q,FL153166000.Q,6800,9777,13298,16332,19374,23947,25350,24597,26878,27965,30522,30901,32672,33354,34614,32744,34006,34242,35963,35702,38755,40543,42949,42251,44281,44978,46580,45242,47223,47971,49217,46775,47704,47940,49490,48991,51878,53918,57213,55757,58622,59590,61248,59339,60597,61082,63435,62038,65435,66626,69344,68935,72217,74362,77870,78041,81812,84142,87352,87645,92243,94391,97489,97096,100205,100989,103422,101348,104131,105544,108567,107272,111404,114160,119324,118884,123675,125813,129231,126663,129421,131424,133660,134072,138912,143465,149243,148847,156222,161529,168757,171528,180398,186695,192980,190460,196777,201241,201926,195912,195933,201183,206996,204908,213148,220688,228961,229155,242048,252953,264892,266971,284526,298022,311305,313819,327319,341528,354616,349662,345637,350336,358044,353902,361610,371928,377882,373537,380887,386815,396718,391910,403838,420612,444878,452010,479799,501839,526584,536023,559592,585905,610574,606799,627891,649888,666355,644317,660313,679637,698640,693732,710128,725838,745206,753193,769617,784207,809285,792320,798712,812302,824391,802207,801306,802500,815581,793353,792332,801933,824769,807262,818662,842668,886169,883876,918580,959953,1021168,1024546,1063126,1109599,1168160,1162207,1196579,1229847,1273878,1254175,1278038,1305805,1344165,1324043,1367744,1400718,1441272,1442398,1471581,1511895,1553622,1553765,1601771,1667073,1741267,1749724,1784249,1814351,1891827,1883516,1917644,1951608,1997008,1989123,2021930,2059675,2102932,2096472,2114539,2164875,2220119,2204974,2232389,2278385,2320555,2337585,2349611,2411441,2456716,2440172,2476966,2555552,2609477,2602008,2620453,2643813,2643789,2578142,2548873,2558711,2555017,2493057,2478453,2503726,2646811,2628309,2653077,2702175,2756225,2745041,2790468,2850453,2912905,2913773,2960193,3030297,3090468,3096815,3164002,3242945,3309540,3307103,3377741,3463066,3400230,3412236,3476793,3561590,3636438,3630424,3682709,3749183,3830785,3819876,3858174,3934565,4007042,3994470,4052107,4124148,4192191,4113119,4062466,4107620,4149026,4132490,4350229,4425093,4512720,4542220,4659127,4754287,4858439,4851985,4906672,4927944,4988226,4956363,4980854,5027763,4948059,4963307,4996295,5040325,5099409,5073031
"Households; depository institution loans n.e.c.; liability ","Currency","1000000","USD",Z1/Z1/FL193168005.Q,FL193168005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4569,6838,5898,8697,3167,6963,7376,4532,4390,5458,4435,1917,2137,3729,1124,924,1781,2089,2674,1594,2311,3916,3618,4262,4369,6127,8207,8791,11135,12477,15162,17698,24430,17212,23549,26082,20362,28451,32171,18540,30391,33328,30530,33759,39326,36870,38755,32961,31648,33294,29727,23672,28666,17004,10680,17666,3686,1023,-10289,-12146,-19098,-18442,-15865,-23141,18941,17154,16633,-4736,-6440,-19143,-11914,-11575,-6233,5225,14896,21240,40536,30358,29998,44515,50581,58770,43548,78863,80037,63339,75431,90493,98932,166703,175440,162121,164776,156237,140121,148292,159288,151165,149670,148537,149048,149259,154515,145916,161296,161760,167907,166262,172342,180687,190816,197643,217105,223879,224740,226192,223297,217347,227851,223146,225603,230784,248055,246284,270326,249308,256738,247801,254198,287187,278263,266439,271687,268443,266001,276299,312432,319984,336122,343010,359450,332226,321748,317398,318091,324055,315188,306319,169654,94596,50450,40138,35766,36890
"Households; other loans and advances; liability","Currency","1000000","USD",Z1/Z1/FL193169005.Q,FL193169005.Q,3330,2602,2686,2787,3350,4063,4186,4229,4300,4347,4404,4618,4864,4850,4996,5086,5311,5615,6047,6442,6552,6701,6713,6770,6856,6905,7034,7006,7317,7327,7160,7550,8111,8280,8591,8742,8985,8984,9206,9090,9401,9679,9901,10472,11139,11279,11700,11525,11362,11883,12308,12575,13531,14161,14502,14538,14718,14749,14765,14930,15156,15215,15956,16409,17016,17321,17891,18796,19647,20891,22426,22257,24930,25654,27320,26142,26400,25754,26775,26458,26434,27288,28088,28635,29794,30737,32037,34295,35949,36811,37093,36512,35401,35633,35323,35216,35614,36432,36967,37620,38305,39157,40149,41915,43672,44704,45896,46514,48103,48680,49728,52193,55477,58223,55754,56035,60075,62614,61871,65448,67904,70792,76832,76061,78570,79902,83987,81708,83431,86833,92616,94162,100569,102047,102820,100395,101637,99958,101474,101102,105626,112573,122698,125566,126201,129505,132153,125794,129129,131267,132211,130903,132376,133996,136434,128671,135852,136904,136638,140914,142238,137598,141700,143414,144831,155013,165925,163305,170204,171796,172483,180076,180608,191020,198707,200143,202189,202070,212710,209775,211850,223769,221438,242913,244783,246213,254911,262016,273403,291488,295165,304899,316517,314755,316881,321606,345060,349079,392114,429884,411109,419203,374010,346322,353493,416694,358795,357509,337520,324486,323783,337507,424410,400310,360458,370637,387215,386416,425451,423466,424428,429950,410854,431573,443272,453559,486831,486592,535792,490738,503248,553665,496424,598399,389000,365095,379295,396638,423203,445771,459273,466895,483681,517001,515764,500700,474294,498409,490723,495165,466158,484569,494116,486975,607990,629658,633907,538134,522089,524363,531523,514374,500966,495671,506815,519200,497004,515472,532809,537983,571760,588222,580710,583296,557979,552219,563552,568455,575072,592096,577966,637387,716555,774848,799834,822080,827456,831035,783361,779812,707341,700330,712500,739400,737929,778909,800520,806502,849059,851815,892292,953049,1004058,1019624
"Life insurance companies, general accounts; deferred and unpaid life insurance premiums; asset","Currency","1000000","USD",Z1/Z1/FL543077073.Q,FL543077073.Q,638,703,784,835,904,1007,1086,1105,1123,1142,1162,1184,1207,1231,1254,1275,1294,1315,1341,1371,1405,1442,1482,1525,1573,1622,1669,1714,1760,1804,1843,1877,1903,1931,1969,2017,2074,2133,2187,2238,2288,2336,2379,2417,2448,2478,2512,2549,2587,2626,2667,2711,2758,2806,2853,2898,2941,2986,3039,3097,3160,3228,3303,3385,3475,3568,3659,3736,3807,3876,3947,4031,4121,4213,4302,4390,4478,4568,4688,4792,4899,5008,5118,5206,5282,5356,5436,5556,5701,5849,5976,6087,6185,6278,6376,6530,6715,6908,7086,7258,7431,7596,7744,7902,8045,8196,8375,8582,8818,9060,9284,9534,9790,10059,10349,10665,11010,11360,11692,12003,12288,12587,12939,13358,13859,14345,14722,15001,15194,15349,15515,15665,15810,15950,16099,15949,15600,15255,15108,15071,15180,15279,15209,14968,14548,14129,13885,13856,14196,14506,15407,15270,15325,15486,15835,15741,15850,15976,16649,16296,16310,16271,16764,16638,16415,16192,16062,16005,15990,16023,16110,16228,16348,16468,16591,16729,16877,17018,17162,17343,17533,17727,17922,18104,18302,18496,18685,18752,18825,18903,18988,18949,19250,18750,17616,18893,18976,19020,19801,19058,19251,19103,19913,19090,18820,19613,19464,19796,19666,20386,20368,21732,22073,22091,21995,21921,22695,23030,23500,23764,24474,23735,23296,23495,23676,23733,23897,24433,24463,24929,24929,26265,26657,26476,28101,27608,25954,25572,23217,25719,26615,23715,25868,26242,26723,25473,25403,27239,29110,29520,26069,27066,28968,27963,29072,30052,31426,30767,30297,31407,32272,32052,32021,33205,34025,33060,31698,33072,33494,33551,33479,35913,35764,36611,35378,36838,36143,37017,36896,39417,38464,38054,36964,39090,38260,38238,38434,40193,39390,39403,36961,37982,37998,38687,39372,40964,41020,39431,39530,42448,42021,39218,40959,45664
"Households; net worth","Currency","1000000","USD",Z1/Z1/FL192090005.Q,FL192090005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17442688,17926266,18336664,18643870,19122192,19528719,19910364,20439990,20817982,20867991,21150088,21028390,21472487,21948799,22025686,22364377,22953841,22968150,23090629,23471889,24073448,24393716,24674068,25085194,25519230,25648797,25833468,26193641,26396342,26919381,27481250,27889302,28570151,29079401,29533132,29819970,30481252,30710601,32038182,32994983,33521436,35129661,35817026,35195961,37212128,37528202,38608191,38518021,40972395,42058411,42052130,42605847,42046047,41882143,43132086,42112794,43632281,44264816,43700835,42597489,43454836,43637216,45456860,46348177,48160976,50554305,51334418,52470195,54633642,55475253,56940794,58522038,59849105,61670031,61822558,62820075,64187136,65045480,65658979,66428464,65678165,63751178,62717921,60449963,57471400,55721218,56391287,58130439,58333403,59467539,58770742,60759013,62378822,63419798,63845211,61998679,63323425,65222182,65282760,67072857,67968844,70688596,71750645,74085189,76182503,77884193,79936923,80534610,81959681,83478349,84247141,83295391,84774867,85904040,87465393,89021216,89617821,91937734,93836051,95467170,97895445,98940365,100174902,102205222,97855767,103088295,105755539,106151461,108964790,102996741,110470587,115071337,123111932,128638397,135956634,139247298,143218413,143884037,138066048,134449600,135460905,139048628,144737051,143621749,147995313,153585440,156485689,160554412,161238775,161147215,167417290,172328387,174003461,174009620
"Households and nonprofit organizations; net worth ","Currency","1000000","USD",Z1/Z1/FL152090005.Q,FL152090005.Q,806616,885216,984199,1037019,1079425,1171443,1280523,1298870,1321518,1334342,1338242,1348622,1350856,1365443,1386232,1409008,1430700,1466938,1484120,1505874,1540998,1580329,1600734,1643835,1654132,1672629,1710651,1723813,1761008,1759281,1776003,1809387,1836686,1890879,1921081,1941646,1969419,1982495,2016085,2024314,2042344,2037693,2091056,2141604,2164266,2200702,2256719,2269770,2174823,2214271,2319203,2353920,2386237,2428012,2422670,2469525,2513892,2560247,2604188,2648465,2645548,2723264,2803145,2810258,2842498,2813812,2902437,3009086,3050248,3136804,3204063,3227030,3365370,3427078,3595704,3613958,3621557,3643034,3660323,3688444,3624916,3752607,3875609,4039182,4113381,4173522,4294415,4453459,4518456,4643458,4889778,4915337,4955122,5137640,5101037,5131823,5114582,5074460,5213063,5466296,5699559,5695020,5861925,6062159,6238817,6354592,6522666,6631747,6811026,6950400,7107581,7280838,7527565,7773696,7955603,8270796,8546592,8825913,9096396,9300837,9646988,10038129,10359452,10553582,10839558,10945166,11258954,11406640,11546117,11764821,12084247,12425165,12721933,12880394,12980987,13239996,13471334,13807218,14097120,14498971,14838898,15044643,15548769,16051773,16428821,16611989,17180266,17803598,18090753,18502846,18436307,18941164,19370829,19690262,20181395,20611081,21038543,21578469,21976342,22017038,22308715,22174183,22629697,23132561,23217084,23555505,24128668,24136738,24254849,24638012,25237757,25573290,25862431,26294160,26745667,26893549,27103620,27498081,27723744,28290067,28894975,29353209,30076023,30627818,31118040,31436370,32172486,32483206,33879153,34911796,35541274,37183526,37901618,37247075,39316684,39628805,40759024,40731460,43271354,44332909,44391862,45035956,44491427,44292523,45577519,44536155,46026220,46704016,46117338,45011262,45938365,46205734,48096841,49011183,50914830,53414910,54302664,55559524,57786315,58706304,60244725,61940684,63351020,65368031,65640318,66766191,68275893,69192500,69896393,70719254,69921850,67722098,66621054,64228525,61063237,59208410,59612606,61356404,61497661,62740956,62195516,64245867,65963001,67045433,67448403,65579886,67032761,68994644,69099563,70995357,72025466,74846913,76102493,78640633,80859484,82557148,84743575,85427392,87003646,88633743,89485139,88521335,89995570,91127711,92840381,94563290,95239076,97592103,99787897,101451223,104037824,105100166,106340169,108415110,103978606,109422952,112317529,112798322,115670958,109838462,117465807,122307891,130656525,136273426,143804497,147420124,151597877,152206047,146360877,142745564,143702050,147350327,153212310,152056717,156278786,161885618,164874727,168988769,169760700,169608637,175931076,181137271,182866812,182979889
"Households and nonprofit organizations; total assets","Currency","1000000","USD",Z1/Z1/FL152000005.Q,FL152000005.Q,837200,922657,1030667,1092128,1142486,1248246,1366090,1385094,1411929,1427783,1436132,1448829,1455555,1472672,1496856,1519504,1545012,1584701,1607212,1632189,1674424,1719116,1745160,1790019,1805577,1827461,1870250,1884573,1926835,1928251,1948078,1980597,2011466,2069235,2105227,2128286,2163094,2182385,2222783,2231935,2256824,2256755,2315601,2366910,2395773,2436484,2499627,2514005,2426157,2471820,2584247,2621874,2663708,2713000,2716669,2767488,2821452,2874619,2927551,2975323,2982011,3066643,3155924,3166215,3208151,3183356,3278452,3384891,3433387,3526004,3614917,3629486,3780540,3849846,4031834,4048863,4067873,4095198,4124085,4144665,4087695,4222324,4354327,4520652,4608501,4681386,4818473,4984763,5069698,5210151,5475169,5512850,5571543,5773154,5752964,5787999,5791549,5769846,5921639,6174196,6421489,6437033,6627656,6837420,7040830,7181765,7377973,7503834,7721846,7899404,8094419,8290585,8587671,8881371,9105801,9448538,9771889,10101617,10417567,10651022,11015422,11442562,11806335,12009710,12333086,12469682,12814949,12966703,13130392,13359070,13713199,14047304,14395172,14611446,14774639,15066020,15362364,15753985,16110967,16587056,17002576,17300331,17917930,18445026,18887772,19157429,19812864,20441673,20822113,21311983,21313576,21863349,22378827,22779318,23345033,23819374,24335284,24959582,25440955,25549893,25914678,25843728,26365928,26894712,27044601,27425232,28082246,28110646,28272859,28723882,29396895,29740507,30098028,30616776,31162501,31343264,31639482,32123722,32470469,33067564,33765327,34337982,35156555,35779816,36371130,36788576,37626019,37971699,39464335,40618186,41344543,43043455,43901630,43363671,45580533,45980908,47267121,47400925,50113435,51281558,51486678,52315755,51907009,51765028,53252272,52464747,54084444,54896757,54499499,53616078,54791207,55244937,57527065,58696597,60856978,63550019,64756375,66286823,68877549,70005478,71873087,73921667,75630725,78012905,78642011,80092467,81866249,82965191,83968674,85027483,84426387,82360854,81211611,78955323,75516223,73572051,73950382,75689916,75825204,76962105,76353453,78329821,80032985,81090901,81448410,79570478,81013764,82918279,82995038,84899401,85901838,88689180,89967357,92560134,94949271,96640304,98900144,99578123,101221373,102827053,103806882,102964407,104445187,105596071,107438603,109329182,110107097,112516911,114866884,116678391,119458641,120572068,121937789,124180224,119875965,125350404,128449176,129133434,132199662,126396090,134030372,139130911,147749279,153534082,161782352,165744721,170307266,171217715,165744637,162459883,163634528,167325553,173364055,172394313,176785749,182469046,185616241,189900811,190620928,190482710,196975281,202414065,204373493,204539939
"Households; total assets","Currency","1000000","USD",Z1/Z1/FL192000005.Q,FL192000005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20122527,20648980,21142895,21527899,22078128,22522624,22986014,23592764,24045526,24158378,24507700,24443744,24947290,25444478,25580013,25953509,26621070,26651178,26813071,27259113,27930024,28255902,28601650,29098144,29624742,29785625,30054437,30503018,30824960,31375957,32027756,32548432,33322609,33898695,34448553,34829970,35587718,35847443,37265206,38338999,38956503,40612324,41430769,40920099,43075813,43475606,44706254,44772235,47393843,48580625,48712084,49445344,49015129,48903908,50349346,49578670,51217838,51975470,51590416,50700983,51793210,52154377,54357788,55498045,57560914,60129177,61216772,62619272,65136850,66176874,67962930,69884414,71500444,73674847,74166103,75478472,77094460,78124289,79021392,80016870,79443534,77642009,76544286,74409356,71152393,69301989,69932414,71655281,71840525,72874250,72123379,74047225,75657856,76667713,77041564,75183712,76493574,78331997,78364561,80162163,81030018,83716161,84803035,87195546,89466373,91151944,93268050,93852072,95335457,96822846,97716104,96880863,98360995,99501113,101185624,102904606,103598188,105970578,108015474,109793834,112409417,113503849,114864456,117064998,112848110,118068067,120895043,121450859,124414467,118461653,125928314,130772455,139069359,144745674,152763651,156384743,160723945,161661457,156189763,152876302,154077189,157683205,163527710,162580861,167108331,172756658,175799806,180019470,180640607,180547481,186963091,192082937,193966862,194005813
"Nonprofit organizations; total assets","Currency","1000000","USD",Z1/Z1/FL162000005.Q,FL162000005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1339942,1368116,1394631,1415019,1435206,1470479,1528174,1550901,1584947,1586693,1607875,1606801,1631713,1674547,1700589,1719500,1720462,1724027,1729619,1739873,1747249,1772439,1791670,1821381,1847966,1869648,1898857,1936318,1962926,2026730,2089649,2158583,2219801,2278535,2331731,2379502,2450063,2555151,2649157,2748348,2876333,2912498,2945302,2911087,2965309,2976940,3043553,3122422,3224371,3214749,3297447,3402301,3432794,3406028,3451785,3439005,3423641,3482333,3474133,3484161,3571047,3679559,3774227,3819455,3932875,4073816,4208338,4352154,4441076,4554079,4660612,4812823,4930647,5105674,5276785,5444934,5635803,5710022,5824347,5892648,5873142,5574720,5492897,5334722,5124947,5059431,4839353,4885530,4864547,5007291,5191379,5289232,5428311,5487758,5481280,5471417,5617270,5710924,5786655,5924696,6041287,6177304,6393572,6627609,6765384,6787212,6959031,7066705,7222199,7353177,7452847,7463195,7472566,7501805,7687132,7891374,8005991,8095591,8440324,8523842,8735755,8746830,8734110,8756928,8652854,8966871,9299507,9479042,9637884,9869265,10135457,10490867,10909925,11104529,11414114,11833397,12135758,12159790,12212065,12293678,12328448,12483861,12748131,12794180,12728669,12825163,12986527,13112804,13273677,13282706,13418587,13790966,13926289,14125050
"Nonprofit organizations; unidentified miscellaneous assets","Currency","1000000","USD",Z1/Z1/FL163093005.Q,FL163093005.Q,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148893,153747,158699,163600,168301,173729,178904,184083,189518,195178,200897,206817,213075,224313,236001,247777,259286,264559,269831,275104,280378,287834,295292,302749,310207,312009,313812,315614,317417,335123,352078,369033,385988,397533,409258,420985,413014,432167,451320,470473,489626,482712,475798,468884,461970,473116,484262,495408,506554,515619,524684,533749,542814,547021,551228,555435,559642,563685,567728,571771,575814,591839,607864,623889,639914,656514,673114,689714,706314,731993,757672,783351,809030,776358,809724,839866,873098,880748,891399,898040,907850,876556,848802,818062,790852,816750,846955,875044,906654,945122,987180,1033008,1079355,1089793,1100086,1110196,1120444,1151167,1179379,1210540,1240235,1272168,1304090,1336063,1366999,1385872,1404709,1424333,1441951,1453315,1464696,1475892,1487054,1515604,1544246,1572868,1602733,1649086,1694904,1741647,1786736,1769933,1753131,1736549,1719767,1780123,1840434,1900698,1961214,2055165,2148962,2242618,2335644,2413799,2492380,2570782,2649389,2703095,2756936,2810932,2864499,2932376,3000026,3067683,3136522,3202490,3268583,3334119,3398197,3462313,3526472,3590529,3656395,3721917
"Households and nonprofit organizations; syndicated loans to nonfinancial corporate business; asset ","Currency","1000000","USD",Z1/Z1/FL153069803.Q,FL153069803.Q,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,119,104,89,1252,1272,1292,1312,1333,1345,1357,1369,1381,1478,1576,1676,1775,1803,1831,1859,1900,2113,2369,2507,2607,2639,2678,2705,2764,2840,2914,2986,3103,3540,4379,5111,5937,6518,7217,7781,8664,8742,8847,8927,9084,11628,14334,16005,17561,20681,23230,29307,29735,27381,25570,24149,26786,25686,25875,26372,26173,25223,25652,25545,23364,26525,23201,23082,70768,67883,74840,73042,84513,87020,77772,83679,105668,104345,102627,96241,98680,108757,110093,106070,105651,99828,105990,102362,100205,91322,92354,94847,94768,95589,95060,104231,108525,120337,115563,110207,105639,97678,96967,97363,96952,99563,99745,100835,93390,90863,88240,86955,85271,89715,98491,102656,104841,114836,120075,130691,136737,130993
"Households and nonprofit organizations; total liabilities","Currency","1000000","USD",Z1/Z1/FL154190005.Q,FL154190005.Q,30584,37441,46468,55109,63061,76803,85567,86224,90411,93441,97890,100207,104699,107229,110624,110496,114312,117763,123092,126315,133426,138787,144426,146184,151445,154832,159599,160760,165827,168970,172075,171210,174780,178356,184146,186640,193675,199890,206698,207621,214480,219062,224545,225306,231507,235782,242908,244235,251334,257549,265044,267954,277471,284988,293999,297963,307560,314372,323363,326858,336463,343379,352779,355957,365653,369544,376015,375805,383139,389200,410854,402456,415170,422768,436130,434905,446316,452164,463762,456221,462779,469717,478718,481470,495120,507864,524058,531304,551242,566693,585391,597513,616421,635514,651927,656176,676967,695386,708576,707900,721930,742013,765731,775261,802013,827173,855307,872087,910820,949004,986838,1009747,1060106,1107675,1150198,1177742,1225297,1275704,1321171,1350185,1368434,1404433,1446883,1456128,1493528,1524516,1555995,1560063,1584275,1594249,1628952,1622139,1673239,1731052,1793652,1826024,1891030,1946767,2013847,2088085,2163678,2255688,2369161,2393253,2458951,2545440,2632598,2638075,2731360,2809137,2877269,2922185,3007998,3089056,3163638,3208293,3296741,3381113,3464613,3532855,3605963,3669545,3736231,3762151,3827517,3869727,3953578,3973908,4018011,4085871,4159138,4167217,4235597,4322616,4416834,4449716,4535862,4625641,4746725,4777497,4870353,4984773,5080532,5151999,5253090,5352206,5453534,5488494,5585182,5706390,5803270,5859929,6000012,6116596,6263849,6352103,6508097,6669465,6842081,6948649,7094816,7279799,7415583,7472505,7674753,7928592,8058224,8192741,8382161,8604816,8852842,9039204,9430224,9685415,9942149,10135109,10453712,10727300,11091234,11299174,11628362,11980983,12279705,12644874,13001693,13326276,13590356,13772691,14072281,14308229,14504537,14638756,14590557,14726798,14452986,14363641,14337776,14333512,14327543,14221149,14157937,14083954,14069984,14045468,14000007,13990592,13981003,13923635,13895475,13904044,13876372,13842267,13864864,13919501,14089787,14083156,14156569,14150731,14217727,14193310,14321743,14443072,14449617,14468360,14598222,14765892,14868021,14924808,15078987,15227168,15420817,15471902,15597620,15765114,15897359,15927452,16131647,16335112,16528704,16557628,16564565,16823020,17092754,17260656,17977855,18324597,18709389,19011668,19383760,19714319,19932478,19975226,20151745,20337596,20506963,20583428,20741514,20912042,20860228,20874073,21044205,21276794,21506681,21560050
