Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Unincorporated businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2009:Q4,Next9,23084857,25513513,5776025,998040,3984335,5253719,2440650,1952071,5108674,2428656,2080226,193821,154609
2009:Q4,Next40,18543356,23864008,8192406,1922403,1485115,5002042,1974315,1105753,4181974,5320652,4320794,868000,131858
2009:Q4,Bottom50,331556,5455894,2937071,1088902,86358,201431,291137,177360,673635,5124338,3573991,1420445,129902
2010:Q1,TopPt1,6300670,6418375,654096,243369,2281882,178358,94733,1034669,1931267,117704,57810,9854,50040
2010:Q1,RemainingTop1,10497024,11032418,1856458,295916,3125066,707818,656112,1666776,2724273,535394,369571,63802,102021
2010:Q1,Next9,23583845,25993603,5768456,1004503,4224498,5346959,2549846,1968634,5130707,2409758,2057107,183041,169610
2010:Q1,Next40,18764870,24012068,8131507,1926213,1543456,5105829,2034086,1129636,4141341,5247198,4253711,833775,159712
2010:Q1,Bottom50,321130,5417786,2904009,1080802,91983,203302,300834,177163,659692,5096656,3537262,1402585,156809
2010:Q2,TopPt1,6177983,6300099,667152,244809,2021122,178393,93647,1131044,1963932,122116,60475,10639,51002
2010:Q2,RemainingTop1,10334837,10869884,1847988,284078,2870043,726576,634605,1752715,2753880,535048,363189,66224,105635
2010:Q2,Next9,23421614,25831105,5782216,1005982,3885024,5444838,2469486,2066691,5176868,2409492,2057880,180707,170905
2010:Q2,Next40,18538732,23747080,8027662,1925625,1435036,5172892,1919267,1181480,4085117,5208348,4216876,824135,167337
2010:Q2,Bottom50,297578,5375211,2909628,1070417,79435,202912,287964,178507,646348,5077633,3514436,1396747,166450
2010:Q3,TopPt1,6528905,6651847,672168,240662,2325689,178165,98271,1171157,1965734,122942,61517,11617,49808
2010:Q3,RemainingTop1,10751362,11282854,1824189,273616,3197670,748961,671470,1799030,2767919,531492,359816,68780,102896
2010:Q3,Next9,24305733,26690944,5732526,1015589,4359320,5575683,2671633,2102025,5234168,2385210,2039138,181076,164996
2010:Q3,Next40,18844162,24002663,7928403,1929162,1561884,5265416,2053341,1212136,4052321,5158500,4167203,825293,166004
2010:Q3,Bottom50,328851,5418918,2933304,1061337,92318,203644,307041,178966,642309,5090067,3504081,1416960,169026
2010:Q4,TopPt1,6863640,6983531,662357,259080,2590079,165782,99514,1225528,1981191,119891,58075,13299,48517
2010:Q4,RemainingTop1,11098509,11631951,1826214,278332,3440012,770255,702602,1800318,2814219,533442,357256,69258,106928
2010:Q4,Next9,24987709,27378905,5695397,1005090,4717516,5695750,2799359,2155666,5310127,2391195,2013501,201325,176369
2010:Q4,Next40,19182714,24364927,7856773,1926574,1683135,5371656,2204236,1212785,4109768,5182213,4131051,885663,165499
2010:Q4,Bottom50,246250,5298542,2780402,1066426,102245,208351,319800,174404,646913,5052292,3398015,1477266,177011
2011:Q1,TopPt1,7110256,7226625,651489,269460,2824843,154237,101423,1258211,1966963,116369,57216,12734,46419
2011:Q1,RemainingTop1,11347771,11875887,1813528,285370,3648325,783432,725459,1785327,2834446,528116,353536,65157,109423
2011:Q1,Next9,25351031,27772197,5602085,1007355,5029811,5743058,2853416,2184781,5351692,2421166,2034430,195624,191112
2011:Q1,Next40,19357979,24546563,7728411,1931563,1791348,5424076,2318765,1204735,4147664,5188583,4153869,869414,165300
2011:Q1,Bottom50,252760,5246440,2694449,1074515,110788,210664,328585,169345,658095,4993680,3321075,1485380,187225
2011:Q2,TopPt1,7209728,7320929,650622,293618,2822578,142743,100712,1298425,2012230,111200,54969,12729,43502
2011:Q2,RemainingTop1,11403219,11926488,1831167,290229,3615623,796032,730311,1774758,2888368,523269,352231,62765,108273
2011:Q2,Next9,25500977,27929789,5613268,998605,5005099,5784890,2844155,2222303,5461469,2428812,2037692,199224,191896
2011:Q2,Next40,19456879,24653905,7642409,1939950,1804188,5472975,2358532,1199188,4236663,5197026,4163430,878492,155104
2011:Q2,Bottom50,274408,5210454,2641598,1086672,108593,212810,326938,164300,669542,4936046,3252347,1499867,183832
2011:Q3,TopPt1,6849008,6957244,645756,286399,2314974,131527,95468,1356866,2126253,108236,53129,12967,42140
2011:Q3,RemainingTop1,10959433,11479177,1824605,300026,3073740,805298,690416,1775633,3009459,519744,350275,60062,109407
2011:Q3,Next9,24688553,27129598,5538500,1014591,4265172,5796196,2615931,2279967,5619242,2441045,2046139,203532,191374
2011:Q3,Next40,19225764,24443485,7640040,1940319,1613230,5499481,2196824,1199848,4353743,5217721,4177218,892217,148286
2011:Q3,Bottom50,275920,5174208,2642535,1089293,83650,213958,300397,159365,685009,4898287,3181632,1533397,183258
2011:Q4,TopPt1,7120541,7224957,637523,301232,2509853,119800,97319,1428239,2130990,104416,50410,13188,40818
2011:Q4,RemainingTop1,11248432,11766926,1829558,305454,3240095,819638,717089,1783867,3071225,518495,350252,57731,110512
2011:Q4,Next9,25168062,27611306,5504071,1007174,4520748,5852620,2707094,2351571,5668028,2443244,2045601,210000,187643
2011:Q4,Next40,19523623,24761695,7594154,1937299,1707713,5560159,2336201,1204401,4421768,5238072,4187469,910972,139631
2011:Q4,Bottom50,262768,5128690,2560662,1093494,90185,216610,310772,154386,702581,4865922,3121206,1564334,180382
2012:Q1,TopPt1,7512750,7614093,633478,327943,2906308,107917,99774,1454947,2083726,101343,49539,12804,39000
2012:Q1,RemainingTop1,11660443,12172860,1844327,309642,3604459,835153,755523,1761111,3062646,512418,345701,53657,113060
2012:Q1,Next9,25895817,28362523,5502344,994090,5056461,5919002,2877897,2373528,5639201,2466706,2061363,206072,199271
2012:Q1,Next40,19866294,25103062,7488932,1942824,1881839,5628555,2537491,1192272,4431149,5236768,4199332,899358,138078
2012:Q1,Bottom50,286878,5079459,2467826,1104416,105742,219600,327342,148705,705828,4792580,3032026,1573150,187404
2012:Q2,TopPt1,7541514,7638904,647057,329334,2805035,96301,99394,1531974,2129809,97390,47146,13006,37238
2012:Q2,RemainingTop1,11619957,12129855,1871238,317457,3471200,846763,749597,1770428,3103172,509899,344566,50980,114353
2012:Q2,Next9,25854141,28328826,5549636,998533,4891729,5949179,2783447,2450520,5705782,2474686,2062185,211826,200675
2012:Q2,Next40,19906444,25158601,7537365,1938098,1857295,5669966,2528896,1197151,4429829,5252157,4206143,915285,130729
2012:Q2,Bottom50,360705,5108374,2516705,1105542,98853,221396,319878,143358,702642,4747669,2961789,1599371,186509
2012:Q3,TopPt1,7893980,7985874,658444,334177,3020428,84385,101077,1634508,2152854,91894,43343,13029,35522
2012:Q3,RemainingTop1,11957340,12468413,1907560,324760,3651108,860923,772184,1794567,3157311,511072,346862,48237,115973
2012:Q3,Next9,26474839,28949579,5613479,1000135,5169082,6001506,2858451,2554647,5752278,2474740,2051091,217656,205993
2012:Q3,Next40,20351924,25623434,7656047,1933960,1958388,5727989,2660252,1209630,4477168,5271510,4212187,933127,126196
2012:Q3,Bottom50,394775,5134864,2524253,1107574,106165,223929,327785,137943,707215,4740089,2912149,1638403,189537
2012:Q4,TopPt1,8029664,8120497,666166,343818,3064216,72457,101153,1700524,2172163,90833,43708,14037,33088
