quarter,wealth_group,housing_wealth_million_usd,financial_wealth_million_usd,liquid_assets_million_usd
2005Q4,bottom50,3147548.0,1259132.0,283858.0
2005Q4,middle40,10555759.0,12827842.0,2315876.0
2005Q4,top10,9588358.0,30015536.0,3590557.0
2006Q1,bottom50,3194948.0,1307401.0,298593.0
2006Q1,middle40,10490512.0,13133744.0,2398016.0
2006Q1,top10,9689174.0,31698257.0,3713430.0
2006Q2,bottom50,3326530.0,1321370.0,304488.0
2006Q2,middle40,10604441.0,13151369.0,2428177.0
2006Q2,top10,9823524.0,31729638.0,3770685.0
2006Q3,bottom50,3434035.0,1354232.0,312362.0
2006Q3,middle40,10701638.0,13308433.0,2471930.0
2006Q3,top10,9894050.0,32527807.0,3865034.0
2006Q4,bottom50,3470137.0,1402053.0,321044.0
2006Q4,middle40,10718082.0,13555250.0,2521464.0
2006Q4,top10,9922948.0,33727732.0,3985547.0
2007Q1,bottom50,3448184.0,1444966.0,336667.0
2007Q1,middle40,10533998.0,13767202.0,2608236.0
2007Q1,top10,9883119.0,34702189.0,4143651.0
2007Q2,bottom50,3478506.0,1485150.0,339456.0
2007Q2,middle40,10406073.0,13934580.0,2616318.0
2007Q2,top10,9871189.0,35454273.0,4182571.0
2007Q3,bottom50,3515592.0,1524778.0,348083.0
2007Q3,middle40,10277007.0,14152513.0,2667954.0
2007Q3,top10,9782229.0,36336809.0,4379069.0
2007Q4,bottom50,3395453.0,1520421.0,354172.0
2007Q4,middle40,10147156.0,14187991.0,2724075.0
2007Q4,top10,9701403.0,36016321.0,4670387.0
2008Q1,bottom50,3311329.0,1499705.0,361693.0
2008Q1,middle40,9817910.0,14057467.0,2791717.0
2008Q1,top10,9428938.0,35003283.0,5007106.0
2008Q2,bottom50,3294801.0,1477194.0,345548.0
2008Q2,middle40,9525597.0,13961871.0,2698535.0
2008Q2,top10,9179145.0,34556936.0,4913872.0
2008Q3,bottom50,3212328.0,1444566.0,347290.0
2008Q3,middle40,9244658.0,13742652.0,2718262.0
2008Q3,top10,8984426.0,33202992.0,5046070.0
2008Q4,bottom50,3086345.0,1396763.0,358819.0
2008Q4,middle40,9007204.0,13312716.0,2812415.0
2008Q4,top10,8802076.0,30981043.0,5438331.0
2009Q1,bottom50,2996928.0,1362658.0,346816.0
2009Q1,middle40,8763362.0,13099073.0,2747173.0
2009Q1,top10,8607024.0,29920889.0,5413021.0
2009Q2,bottom50,2992019.0,1386120.0,336988.0
2009Q2,middle40,8513224.0,13307216.0,2689247.0
2009Q2,top10,8439543.0,30745777.0,5346897.0
2009Q3,bottom50,2989893.0,1415857.0,326061.0
2009Q3,middle40,8334371.0,13637924.0,2621362.0
2009Q3,top10,8313142.0,32432827.0,5240916.0
2009Q4,bottom50,2937071.0,1429921.0,330256.0
2009Q4,middle40,8192406.0,13749199.0,2650626.0
2009Q4,top10,8287791.0,32684005.0,5340184.0
2010Q1,bottom50,2904009.0,1432974.0,318071.0
2010Q1,middle40,8131507.0,13954348.0,2570524.0
2010Q1,top10,8279010.0,33621598.0,5190868.0
2010Q2,bottom50,2909628.0,1395166.0,307690.0
2010Q2,middle40,8027662.0,13793792.0,2508388.0
2010Q2,top10,8297356.0,33168864.0,5127200.0
2010Q3,bottom50,2933304.0,1424278.0,304925.0
2010Q3,middle40,7928403.0,14145098.0,2500791.0
2010Q3,top10,8228883.0,34866895.0,5206354.0
2010Q4,bottom50,2780402.0,1451713.0,306150.0
2010Q4,middle40,7856773.0,14581580.0,2508984.0
2010Q4,top10,8183968.0,36267918.0,5303082.0
2011Q1,bottom50,2694449.0,1477477.0,317479.0
2011Q1,middle40,7728411.0,14886588.0,2563683.0
2011Q1,top10,8067102.0,37245424.0,5374879.0
2011Q2,bottom50,2641598.0,1482183.0,326471.0
2011Q2,middle40,7642409.0,15071546.0,2606066.0
2011Q2,top10,8095057.0,37499696.0,5437438.0
2011Q3,bottom50,2642535.0,1442379.0,336488.0
2011Q3,middle40,7640040.0,14863126.0,2654465.0
2011Q3,top10,8008861.0,35956142.0,5507725.0
2011Q4,bottom50,2560662.0,1474534.0,347689.0
2011Q4,middle40,7594154.0,15230242.0,2714429.0
2011Q4,top10,7971152.0,37018176.0,5623906.0
